Title;Release Year;Locations;Fun Facts;Production Company;Distributor;Director;Writer;Actor 1;Actor 2;Actor 3
A Jitney Elopement;1915;20th and Folsom Streets;;The Essanay Film Manufacturing Company;General Film Company;Charles Chaplin;Charles Chaplin;Charles Chaplin;Edna Purviance;
A Jitney Elopement;1915;Golden Gate Park;"During San Francisco's Gold Rush era, the Park was part of an area designated as the ""Great Sand Waste"".";The Essanay Film Manufacturing Company;General Film Company;Charles Chaplin;Charles Chaplin;Charles Chaplin;Edna Purviance;
Greed;1924;Cliff House (1090 Point Lobos Avenue);In 1887, the Cliff House was severely damaged when the schooner Parallel, abandoned and loaded with dynamite, ran aground on the rocks below.;Metro-Goldwyn-Mayer (MGM);Metro-Goldwyn-Mayer (MGM);Eric von Stroheim;Eric von Stroheim;Zasu Pitts;Gibson Gowland;Jean Hersholt
Greed;1924;Bush and Sutter Streets;;Metro-Goldwyn-Mayer (MGM);Metro-Goldwyn-Mayer (MGM);Eric von Stroheim;Eric von Stroheim;Zasu Pitts;Gibson Gowland;Jean Hersholt
Greed;1924;Hayes Street at Laguna;;Metro-Goldwyn-Mayer (MGM);Metro-Goldwyn-Mayer (MGM);Eric von Stroheim;Eric von Stroheim;Zasu Pitts;Gibson Gowland;Jean Hersholt
The Jazz Singer;1927;Coffee Dan's (O'Farrell Street at Powell);;Warner Bros. Pictures;Warner Bros. Pictures;Alan Crosland;Alfred A. Cohn;Al Jolson;May McAvoy;Warner Oland
Barbary Coast;1935;;;The Samuel Goldwyn Company;United Artists;Howard Hawks;Ben Hecht;Mariam Hopkins;Edward G. Robinson;Joel McCrea
After the Thin Man;1936;Coit Tower;The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.;Metro-Goldwyn Mayer;Metro-Goldwyn Mayer;W.S. Van Dyke;Frances Goodrich;William Powell;Myrna Loy;James Stewart
San Francisco;1936;The Barbary Coast;The Barbary Coast was a red-light district that was largely destroyed in the 1906 earthquake. Though some of the establishments were rebuilt after the earthquake, an anti-vice campaign put the establishments out of business.;Metro-Goldwyn Mayer;Metro-Goldwyn Mayer;W.S. Van Dyke;Anita Loos;Clark Gable;Jeanette MacDonald;Spencer Tracy
San Francisco;1936;City Hall;The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.;Metro-Goldwyn Mayer;Metro-Goldwyn Mayer;W.S. Van Dyke;Anita Loos;Clark Gable;Jeanette MacDonald;Spencer Tracy
Alexander's Ragtime Band;1938;Cliff House (1090 Point Lobos Avenue);In 1887, the Cliff House was severely damaged when the schooner Parallel, abandoned and loaded with dynamite, ran aground on the rocks below.;Twentieth Century Fox Film Corporation;Twentieth Century Fox Film Corporation;Henry King;Kathryn Scola;Tyrone Power;Alice Faye;Don Ameche
Alexander's Ragtime Band;1938;San Francisco Bay;;Twentieth Century Fox Film Corporation;Twentieth Century Fox Film Corporation;Henry King;Kathryn Scola;Tyrone Power;Alice Faye;Don Ameche
Alexander's Ragtime Band;1938;Fairmont Hotel (950 Mason Street, Nob Hill);In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.;Twentieth Century Fox Film Corporation;Twentieth Century Fox Film Corporation;Henry King;Kathryn Scola;Tyrone Power;Alice Faye;Don Ameche
Shadow of the Thin Man;1941;Bay Bridge;Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII.;Metro-Goldwyn Mayer;Metro-Goldwyn Mayer;W.S. Van Dyke;Harry Kurnitz;William Powell;Myrna Loy;Barry Nelson
The Maltese Falcon;1941;Golden Gate Bridge;With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.;Warner Bros. Pictures;Warner Bros. Pictures;John Huston;John Huston;Humphrey Bogart;Mary Astor;Gladys George
The Maltese Falcon;1941;Ferry Building;Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.;Warner Bros. Pictures;Warner Bros. Pictures;John Huston;John Huston;Humphrey Bogart;Mary Astor;Gladys George
The Maltese Falcon;1941;Burritt Alley (Off Bush Street, between Powell and Stockton Streets);;Warner Bros. Pictures;Warner Bros. Pictures;John Huston;John Huston;Humphrey Bogart;Mary Astor;Gladys George
Gentleman Jim;1942;The Barbary Coast;The Barbary Coast was a red-light district that was largely destroyed in the 1906 earthquake. Though some of the establishments were rebuilt after the earthquake, an anti-vice campaign put the establishments out of business.;Warner Bros. Pictures;Warner Bros. Pictures;Raoul Walsh;Vincent Lawrence;Errol Flynn;Alexis Smith;Jack Carson
Hello Frisco, Hello;1943;;;Twentieth Century Fox Film Corporation;Twentieth Century Fox Film Corporation;Bruce Humberstone;Robert Ellis;Alice Faye;John Payne;Jack Oakie
Dark Passage;1947;Golden Gate Bridge;With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.;Warner Bros. Pictures;Warner Bros. Pictures;Delmer Daves;Delmer Daves & David Goodis;Humphrey Bogart;Lauren Bacal;Bruce Bennett
Dark Passage;1947;The Malloch Apartment Building (1360 Montgomery Street);;Warner Bros. Pictures;Warner Bros. Pictures;Delmer Daves;Delmer Daves & David Goodis;Humphrey Bogart;Lauren Bacal;Bruce Bennett
Dark Passage;1947;Filbert Steps, Filbert Street;;Warner Bros. Pictures;Warner Bros. Pictures;Delmer Daves;Delmer Daves & David Goodis;Humphrey Bogart;Lauren Bacal;Bruce Bennett
Nora Prentiss;1947;Belgravia Apartments (795 Sutter Street at Jones);;Warner Bros. Pictures;Warner Bros. Pictures;Vincent Sherman;N. Richard Nash;Ann Sheridan;Kent Smith;Bruce Bennett
The Lady from Shanghai;1947;Steinhart Aquarium (California Academy of Sciences, Golden Gate Park);The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species.;Columbia Pictures Corp.;Columbia Pictures;Orson Welles;Orson Welles;Rita Hayworth;Orson Welles;Everett Sloane
The Lady from Shanghai;1947;Mandarin Theatre (1021 Grant Avenue);The Mandarin Theatre was renamed the Sun Sing Theatre in 1949. It closed 1986.;Columbia Pictures Corp.;Columbia Pictures;Orson Welles;Orson Welles;Rita Hayworth;Orson Welles;Everett Sloane
The Lady from Shanghai;1947;Golden Gate Park;"The Playland amusement park where ""Hall of Mirrors"" sequence at the end of the movie was filmed has since been destroyed. However, relics from the park are now housed at the nearby Cliff House.";Columbia Pictures Corp.;Columbia Pictures;Orson Welles;Orson Welles;Rita Hayworth;Orson Welles;Everett Sloane
The Lady from Shanghai;1947;Former Hall of Justice (750 Kearny Street at Washington);;Columbia Pictures Corp.;Columbia Pictures;Orson Welles;Orson Welles;Rita Hayworth;Orson Welles;Everett Sloane
I Remember Mama;1948;Fairmont Hotel (950 Mason Street, Nob Hill);In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.;RKO Radio Pictures;RKO Radio Pictures;George Stevens;DeWitt Bodeen;Irene Dunne;Barbara Bel Geddes;Oskar Homolka
I Remember Mama;1948;The Ferry Building;Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.;RKO Radio Pictures;RKO Radio Pictures;George Stevens;DeWitt Bodeen;Irene Dunne;Barbara Bel Geddes;Oskar Homolka
I Remember Mama;1948;Grant Avenue (North Beach);;RKO Radio Pictures;RKO Radio Pictures;George Stevens;DeWitt Bodeen;Irene Dunne;Barbara Bel Geddes;Oskar Homolka
To the Ends of the Earth;1948;;;Kennedy-Buckman Pictures;Columbia Pictures;Robert Stevenson;Jay Richard Kennedy;Dick Powell;Signe Hasso;Maylia
All About Eve;1950;Curran Theater (445 Geary Street);Called the Shubert Theatre in the film.;Twentieth Century Fox Film Corp.;Twentieth Century Fox Film Corp.;Joseph L. Mankiewicz;Joseph L. Mankiewicz;Bette Davis;Anne Baxter;George Sanders
D.O.A;1950;Powell & California Streets;;Cardinal Pictures;United Artists;Rudolph Mate;Russell Rouse;Edmond O'Brien;Pamela Britton;Luther Adler
D.O.A;1950;Southern Pacific Memorial Hospital (1400 Fell Street);;Cardinal Pictures;United Artists;Rudolph Mate;Russell Rouse;Edmond O'Brien;Pamela Britton;Luther Adler
D.O.A;1950;The Embarcadero/ Ferry Building;Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.;Cardinal Pictures;United Artists;Rudolph Mate;Russell Rouse;Edmond O'Brien;Pamela Britton;Luther Adler
D.O.A;1950;Union Square;"During the Civil War, pro-Union rallies were held in the Square, and thus the area was called ""Union Square"".";Cardinal Pictures;United Artists;Rudolph Mate;Russell Rouse;Edmond O'Brien;Pamela Britton;Luther Adler
D.O.A;1950;Westin St. Francis Hotel (335 Powell Street);The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels.;Cardinal Pictures;United Artists;Rudolph Mate;Russell Rouse;Edmond O'Brien;Pamela Britton;Luther Adler
D.O.A;1950;Chambord Apartments (1298 Sacramento Street at Jones);;Cardinal Pictures;United Artists;Rudolph Mate;Russell Rouse;Edmond O'Brien;Pamela Britton;Luther Adler
D.O.A;1950;Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle);The Top of the Mark lounge and restaurant at the top of the hotel was formerly a penthouse suite.;Cardinal Pictures;United Artists;Rudolph Mate;Russell Rouse;Edmond O'Brien;Pamela Britton;Luther Adler
D.O.A;1950;Market & Steuart Streets (Financial District);;Cardinal Pictures;United Artists;Rudolph Mate;Russell Rouse;Edmond O'Brien;Pamela Britton;Luther Adler
D.O.A;1950;Market Street (from 6th- 4th Streets);;Cardinal Pictures;United Artists;Rudolph Mate;Russell Rouse;Edmond O'Brien;Pamela Britton;Luther Adler
Woman on the Run;1950;Former Hall of Justice (750 Kearny Street at Washington);;Fidelity Pictures Corporation;Universal Pictures;Norman Foster;Norman Foster;Ann Sheridan;Dennis O'Keefe;Robert Keith
Woman on the Run;1950;835-865 Market Street at 5th Street;The Emporium, a department store, stood in this location. Bloomingdale's is now located here.;Fidelity Pictures Corporation;Universal Pictures;Norman Foster;Norman Foster;Ann Sheridan;Dennis O'Keefe;Robert Keith
Woman on the Run;1950;819 Mason Street at Pine;;Fidelity Pictures Corporation;Universal Pictures;Norman Foster;Norman Foster;Ann Sheridan;Dennis O'Keefe;Robert Keith
Woman on the Run;1950;772 Commercial Street at Kearney;"Called ""Man Loh's Oriental Roof Garden"" in the film.";Fidelity Pictures Corporation;Universal Pictures;Norman Foster;Norman Foster;Ann Sheridan;Dennis O'Keefe;Robert Keith
Woman on the Run;1950;1801 Laguna at Bush;;Fidelity Pictures Corporation;Universal Pictures;Norman Foster;Norman Foster;Ann Sheridan;Dennis O'Keefe;Robert Keith
Woman on the Run;1950;Cable Car Signal Box (California Street at Powell Street);SF Cable Cars are the only moving National Historical Landmark.;Fidelity Pictures Corporation;Universal Pictures;Norman Foster;Norman Foster;Ann Sheridan;Dennis O'Keefe;Robert Keith
The House on Telegraph Hill;1951;Telegraph Hill;Largely untouched by the 1906 earthquake, Telegraph Hill has the most pre-1870 buildings in the city.;Twentieth Century Fox Film Corp.;Twentieth Century Fox Film Corp.;Robert Wise;Elick Moll;Richard Basehart;Valentina Cortese;William Lundigan
The House on Telegraph Hill;1951;Market Street;;Twentieth Century Fox Film Corp.;Twentieth Century Fox Film Corp.;Robert Wise;Elick Moll;Richard Basehart;Valentina Cortese;William Lundigan
The House on Telegraph Hill;1951;Coit Tower;The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.;Twentieth Century Fox Film Corp.;Twentieth Century Fox Film Corp.;Robert Wise;Elick Moll;Richard Basehart;Valentina Cortese;William Lundigan
The House on Telegraph Hill;1951;1227 Montgomery Street;;Twentieth Century Fox Film Corp.;Twentieth Century Fox Film Corp.;Robert Wise;Elick Moll;Richard Basehart;Valentina Cortese;William Lundigan
Sudden Fear;1952;Lombard Street;Lombard Street is not actually the most crooked in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd.;Joseph Kaufmann Pictures;RKO Pictures;David Miller;Lenore J. Coffee;Joan Crawford;Jack Palance;Gloria Grahame
Sudden Fear;1952;The Tamalpais Building (1201 Greenwich Street at Hyde);;Joseph Kaufmann Pictures;RKO Pictures;David Miller;Lenore J. Coffee;Joan Crawford;Jack Palance;Gloria Grahame
Sudden Fear;1952;Brocklebank Apartments (1000 Mason Street);;Joseph Kaufmann Pictures;RKO Pictures;David Miller;Lenore J. Coffee;Joan Crawford;Jack Palance;Gloria Grahame
Sudden Fear;1952;2800 Scott Street;;Joseph Kaufmann Pictures;RKO Pictures;David Miller;Lenore J. Coffee;Joan Crawford;Jack Palance;Gloria Grahame
The Caine Mutiny;1954;The Embarcadero;;Stanley Kramer Productions;Columbia Pictures;Edward Dmytryk;Stanley Roberts;Humphrey Bogart;Fred MacMurray;Jose Ferrer
The Caine Mutiny;1954;Golden Gate Bridge;With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.;Stanley Kramer Productions;Columbia Pictures;Edward Dmytryk;Stanley Roberts;Humphrey Bogart;Fred MacMurray;Jose Ferrer
It Came From Beneath the Sea;1955;Hunters Point;With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.;Clover Productions;Columbia Pictures;Robert Gordon;George Worthing Yates;Kenneth Tobey;Faith Domergue;Donald Curtis
It Came From Beneath the Sea;1955;Chrissy Field;With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.;Clover Productions;Columbia Pictures;Robert Gordon;George Worthing Yates;Kenneth Tobey;Faith Domergue;Donald Curtis
It Came From Beneath the Sea;1955;Golden Gate Bridge;With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.;Clover Productions;Columbia Pictures;Robert Gordon;George Worthing Yates;Kenneth Tobey;Faith Domergue;Donald Curtis
The Ten Commandments;1956;St. Peter & Paul's Church (666 Filbert Street, Washington Square);Exteriors of the church were used.;Paramount Pictures;Paramount Pictures;Cecil B. DeMille;Jesse L. Lasky, Jr.;Charlton Heston;Yul Brynner;Anne Baxter
Pal Joey;1957;Spreckels Mansion (2080 Washington Street, Pacific Heights);;Columbia Pictures Corporation;Columbia Pictures;George Sidney;Dorothy Kingsley;Rita Hayworth;Frank Sinatra;Kim Novak
Pal Joey;1957;Coit Tower;The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.;Columbia Pictures Corporation;Columbia Pictures;George Sidney;Dorothy Kingsley;Rita Hayworth;Frank Sinatra;Kim Novak
Pal Joey;1957;Barbary Coast;The Barbary Coast was a red-light district that was largely destroyed in the 1906 earthquake. Though some of the establishments were rebuilt after the earthquake, an anti-vice campaign put the establishments out of business.;Columbia Pictures Corporation;Columbia Pictures;George Sidney;Dorothy Kingsley;Rita Hayworth;Frank Sinatra;Kim Novak
The Lineup;1958;War Memorial Opera House (401 Van Ness Avenue);In 1945 the United Nations had its first conference at The War Memorial Opera House.;Pajemer Productions;Columbia Pictures;Don Siegel;Stirling Silliphant;Eli Wallach;Robert Keith;Richard Jaeckel
The Lineup;1958;The Embarcadero;;Pajemer Productions;Columbia Pictures;Don Siegel;Stirling Silliphant;Eli Wallach;Robert Keith;Richard Jaeckel
The Lineup;1958;Sutro Baths (Point Lobos Avenue);;Pajemer Productions;Columbia Pictures;Don Siegel;Stirling Silliphant;Eli Wallach;Robert Keith;Richard Jaeckel
The Lineup;1958;Steinhart Aquarium (California Academy of Sciences, Golden Gate Park);The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species.;Pajemer Productions;Columbia Pictures;Don Siegel;Stirling Silliphant;Eli Wallach;Robert Keith;Richard Jaeckel
The Lineup;1958;Pier 41;;Pajemer Productions;Columbia Pictures;Don Siegel;Stirling Silliphant;Eli Wallach;Robert Keith;Richard Jaeckel
The Lineup;1958;Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill);The Top of the Mark lounge and restaurant at the top of the hotel was formerly a penthouse suite.;Pajemer Productions;Columbia Pictures;Don Siegel;Stirling Silliphant;Eli Wallach;Robert Keith;Richard Jaeckel
The Lineup;1958;2090 Jackson Street;;Pajemer Productions;Columbia Pictures;Don Siegel;Stirling Silliphant;Eli Wallach;Robert Keith;Richard Jaeckel
Vertigo;1958;Palace of Fine Arts (3301 Lyon Street);The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.;Alfred J. Hitchcock Productions;Paramount Pictures;Alfred Hitchcock;Alec Coppel;James Stewart;Kim Novak;Barbara Bel Geddes
Vertigo;1958;York Hotel (940 Sutter Street);;Alfred J. Hitchcock Productions;Paramount Pictures;Alfred Hitchcock;Alec Coppel;James Stewart;Kim Novak;Barbara Bel Geddes
Vertigo;1958;San Francisco Drydock (20th and Illinois Streets);;Alfred J. Hitchcock Productions;Paramount Pictures;Alfred Hitchcock;Alec Coppel;James Stewart;Kim Novak;Barbara Bel Geddes
Vertigo;1958;Park Hill Sanatorium (351 Buena Vista Avenue East);This location is now a condominium complex.;Alfred J. Hitchcock Productions;Paramount Pictures;Alfred Hitchcock;Alec Coppel;James Stewart;Kim Novak;Barbara Bel Geddes
Vertigo;1958;Mission San Juan Bautista (2nd & Mariposa Streets);;Alfred J. Hitchcock Productions;Paramount Pictures;Alfred Hitchcock;Alec Coppel;James Stewart;Kim Novak;Barbara Bel Geddes
Vertigo;1958;Mission Dolores (3321 16th Street, Mission District);Mission Dolores' official name is Mission San Francisco de Assis. It is the oldest building in San Francisco, built in 1791, and has survived two major earthquakes.;Alfred J. Hitchcock Productions;Paramount Pictures;Alfred Hitchcock;Alec Coppel;James Stewart;Kim Novak;Barbara Bel Geddes
Vertigo;1958;Gough & Eddy Streets (Western Addition);;Alfred J. Hitchcock Productions;Paramount Pictures;Alfred Hitchcock;Alec Coppel;James Stewart;Kim Novak;Barbara Bel Geddes
Vertigo;1958;Fort Point (Presidio, Golden Gate National Recreation Area);Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.;Alfred J. Hitchcock Productions;Paramount Pictures;Alfred Hitchcock;Alec Coppel;James Stewart;Kim Novak;Barbara Bel Geddes
Vertigo;1958;Fairmont Hotel (950 Mason Street, Nob Hill);In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.;Alfred J. Hitchcock Productions;Paramount Pictures;Alfred Hitchcock;Alec Coppel;James Stewart;Kim Novak;Barbara Bel Geddes
Vertigo;1958;Ernie's Restaurant (847 Montgomery Street);"Called the ""Essex Club"" in the film.";Alfred J. Hitchcock Productions;Paramount Pictures;Alfred Hitchcock;Alec Coppel;James Stewart;Kim Novak;Barbara Bel Geddes
Vertigo;1958;Conservatory of Flowers (Golden Gate Park);The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere.;Alfred J. Hitchcock Productions;Paramount Pictures;Alfred Hitchcock;Alec Coppel;James Stewart;Kim Novak;Barbara Bel Geddes
Vertigo;1958;Claude Lane at Bush Street;;Alfred J. Hitchcock Productions;Paramount Pictures;Alfred Hitchcock;Alec Coppel;James Stewart;Kim Novak;Barbara Bel Geddes
Vertigo;1958;California Palace of the Legion of Honor (34th Avenue & Clement, Lincoln Park);Built in 1924, the Legion of Honor is a 3/4 replica of the Parisian Palais de la Legion d'Honneur.;Alfred J. Hitchcock Productions;Paramount Pictures;Alfred Hitchcock;Alec Coppel;James Stewart;Kim Novak;Barbara Bel Geddes
Vertigo;1958;Brocklebank Apartments (1000 Mason Street);;Alfred J. Hitchcock Productions;Paramount Pictures;Alfred Hitchcock;Alec Coppel;James Stewart;Kim Novak;Barbara Bel Geddes
Vertigo;1958;900 Lombard Street;Lombard Street is not actually the most crooked in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd.;Alfred J. Hitchcock Productions;Paramount Pictures;Alfred Hitchcock;Alec Coppel;James Stewart;Kim Novak;Barbara Bel Geddes
Vertigo;1958;1007 Gough Street;"Tennis courts now sit on the site; in the movie the structure was Carlota Valdes' home.";Alfred J. Hitchcock Productions;Paramount Pictures;Alfred Hitchcock;Alec Coppel;James Stewart;Kim Novak;Barbara Bel Geddes
On the Beach;1959;;;Stanley Kramer Productions;United Artists;Stanley Kramer;John Paxton;Gregory Peck;Ava Gardner;Fred Astaire
Midnight Lace;1960;Fairmont Hotel (950 Mason Street, Nob Hill);In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.;Arwin Productions;Universal Pictures;David Miller;Ivan Goff;Doris Day;Rex Harrison;John Gavin
Flower Drum Song;1961;Golden Gate Bridge;With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.;Fields Productions;Universal Pictures;Henry Koster;Joseph Fields;Nancy Kwan;James Shigeta;Benson Fong
Flower Drum Song;1961;Chinatown;First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.;Fields Productions;Universal Pictures;Henry Koster;Joseph Fields;Nancy Kwan;James Shigeta;Benson Fong
Pleasure of His Company;1961;Grace Cathedral Episcopal Church (1100 California Street);Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.;Perlsea Company;Paramount Pictures;George Seaton;Samuel A. Taylor;Fred Astaire;Debbie Reynolds;Lilli Palmer
Pleasure of His Company;1961;2700 Vallejo Street (Pacific Heights);;Perlsea Company;Parmaount Pictures;George Seaton;Samuel A. Taylor;Fred Astaire;Debbie Reynolds;Lilli Palmer
Susan Slade;1961;On Board the SS President Cleveland, docked at Pier 50;;Warner Bros. Pictures;Warner Bros. Pictures;Delmer Daves;Delmer Daves;Troy Donahue;Connie Stevens;Dorothy McGuire
Swingin' Along;1961;Powell Street;;Twentieth Century Fox Film Corporation;Twentieth Century Fox Film Corporation;Charles Barton;Jameson Brewer;Tommy Noonan;Barbara Eden;Peter Marshall
Birdman of Alcatraz;1962;Alcatraz Island;Alcatraz Island was a military fort before it became a prison.;Norma Productions;United Artists;John Frankenheimer;Guy Trosper;Burt Lancaster;Karl Maden;Thelma Ritter
Birdman of Alcatraz;1962;Pier 43 1/2;;Norma Productions;United Artists;John Frankenheimer;Guy Trosper;Burt Lancaster;Karl Maden;Thelma Ritter
Days of Wine and Roses;1962;;;Warner Bros. Pictures;Warner Bros. Pictures;Blake Edwards;JP Miller;Jack Lemmon;Lee Remick;Charles Bickford
Experiment in Terror;1962;George Washington High School (600 32nd Avenue );;Columbia Pictures Corporation;Columbia Pictures;Blake Edwards;The Gordons;Glenn Ford;Lee Remick;Stefanie Powers
Experiment in Terror;1962;Wells Fargo Bank (1 California Street, Financial District);;Columbia Pictures Corporation;Columbia Pictures;Blake Edwards;The Gordons;Glenn Ford;Lee Remick;Stefanie Powers
Experiment in Terror;1962;The Sea Captain's Chest (Fisherman's Wharf);;Columbia Pictures Corporation;Columbia Pictures;Blake Edwards;The Gordons;Glenn Ford;Lee Remick;Stefanie Powers
Experiment in Terror;1962;Sheraton Palace Hotel (2 Montgomery Street, Financial District);The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909.;Columbia Pictures Corporation;Columbia Pictures;Blake Edwards;The Gordons;Glenn Ford;Lee Remick;Stefanie Powers
Experiment in Terror;1962;Roaring Twenties Nightclub (555 Broadway at Columbus);;Columbia Pictures Corporation;Columbia Pictures;Blake Edwards;The Gordons;Glenn Ford;Lee Remick;Stefanie Powers
Experiment in Terror;1962;Candlestick Park;Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.;Columbia Pictures Corporation;Columbia Pictures;Blake Edwards;The Gordons;Glenn Ford;Lee Remick;Stefanie Powers
Experiment in Terror;1962;2632 Larkin Street at Lombard;;Columbia Pictures Corporation;Columbia Pictures;Blake Edwards;The Gordons;Glenn Ford;Lee Remick;Stefanie Powers
Experiment in Terror;1962;100 St. Germain Avenue;;Columbia Pictures Corporation;Columbia Pictures;Blake Edwards;The Gordons;Glenn Ford;Lee Remick;Stefanie Powers
Experiment in Terror;1962;1 Montgomery Street at Post;;Columbia Pictures Corporation;Columbia Pictures;Blake Edwards;The Gordons;Glenn Ford;Lee Remick;Stefanie Powers
The Birds;1963;Powell and Geary Streets (Union Square);The pet shop featured in the film does not exist, but was based on the now-closed Robison's House of Pets formerly located on Maiden Lane.;Universal Pictures;Universal Pictures;Alfred Hitchcock;Evan Hunter;Tippi Hedren;Suzanne Pleshette;Rod Taylor
Good NeighborSam;1964;Various locations in San Francisco during driving scene;;Columbia Pictures Corporation;Columbia Pictures;David Swift;James Fritzell;Jack Lemmon;Romy Schneider;Dorothy Provine
Marnie;1964;On Board the SS President Cleveland, docked at Pier 50;;Universal Pictures;Universal Pictures;Alfred Hitchcock;Jay Presson Allen;Tippi Hedren;Sean Connery;Martin Gabel
Guess Who's Coming to Dinner;1967;Sutter Street between Powell and Mason;;Columbia Pictures Corporation;Columbia Pictures;Stanley Kramer;William Rose;Spencer Tracy;Sidney Poitier;Katharine Hepburn
Guess Who's Coming to Dinner;1967;San Francisco International Airport;SFO has a museum dedicated to aviation history.;Columbia Pictures Corporation;Columbia Pictures;Stanley Kramer;William Rose;Spencer Tracy;Sidney Poitier;Katharine Hepburn
Guess Who's Coming to Dinner;1967;Mel's Drive-In (Corner South Van Ness & Mission St.);"This restaurant location was demolished; however another Mel's was reopened in 1986 on 3355 Geary Blvd.";Columbia Pictures Corporation;Columbia Pictures;Stanley Kramer;William Rose;Spencer Tracy;Sidney Poitier;Katharine Hepburn
Guess Who's Coming to Dinner;1967;634 Raycliff Terrace;;Columbia Pictures Corporation;Columbia Pictures;Stanley Kramer;William Rose;Spencer Tracy;Sidney Poitier;Katharine Hepburn
Point Blank;1967;Fort Point (Presidio, Golden Gate National Recreation Area);Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.;Metro-Goldwyn Mayer;Metro-Goldwyn Mayer;John Boorman;Alexander Jacobs;Lee Marvin;Angie Dickinson;Keenan Wynn
Point Blank;1967;Alcatraz Island;Alcatraz Island was a military fort before it became a prison.;Metro-Goldwyn Mayer;Metro-Goldwyn Mayer;John Boorman;Alexander Jacobs;Lee Marvin;Angie Dickinson;Keenan Wynn
The Graduate;1967;San Francisco Zoo (2701 Sloat Blvd.);;Embassy Pictures Corporation;Embassy Pictures Corporation;Mike Nichols;Calder Willingham;Anne Bancroft;Dustin Hoffman;Katharine Ross
The Graduate;1967;Bay Bridge;Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII.;Embassy Pictures Corporation;Embassy Pictures Corporation;Mike Nichols;Calder Willingham;Anne Bancroft;Dustin Hoffman;Katharine Ross
Bullitt;1968;Bayshore Blvd near Cesar Chavez (Bayview);;"Warner Brothers / Seven Arts
Seven Arts";Warner Brothers;Peter Yates;Alan R. Trustman;Steve McQueen;Jacqueline Bisset;Robert Vaughn
